66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:32:10.0 (195236)|USER_INFO|[EXTERNAL]|005a500001kpSnF|takahiro.nagai.docusigndemo20250910@gmail.com|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:32:10.0 (236818)|EXECUTION_STARTED
18:32:10.0 (247393)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WorkspaceController/ACTION$getAssignableRoles
18:32:10.0 (1220654)|CODE_UNIT_STARTED|[EXTERNAL]|01pa500000QRBV3|WorkspaceController.getAssignableRoles(String)
18:32:10.0 (1469289)|HEAP_ALLOCATE|[95]|Bytes:3
18:32:10.0 (1540321)|HEAP_ALLOCATE|[100]|Bytes:152
18:32:10.0 (1557976)|HEAP_ALLOCATE|[417]|Bytes:408
18:32:10.0 (1570216)|HEAP_ALLOCATE|[430]|Bytes:408
18:32:10.0 (1589429)|HEAP_ALLOCATE|[317]|Bytes:6
18:32:10.0 (1600351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:43
18:32:10.0 (1611188)|METHOD_ENTRY|[1]|01pa500000QRBV3|WorkspaceController.WorkspaceController()
18:32:10.0 (1617873)|STATEMENT_EXECUTE|[1]
18:32:10.0 (1625743)|STATEMENT_EXECUTE|[1]
18:32:10.0 (1643886)|HEAP_ALLOCATE|[68]|Bytes:5
18:32:10.0 (1664761)|HEAP_ALLOCATE|[74]|Bytes:5
18:32:10.0 (1669766)|HEAP_ALLOCATE|[82]|Bytes:7
18:32:10.0 (1855894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:32:10.0 (1865802)|METHOD_EXIT|[1]|WorkspaceController
18:32:10.0 (1871921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:32:10.0 (1880000)|VARIABLE_SCOPE_BEGIN|[102]|workspaceId|String|false|false
18:32:10.0 (1924375)|VARIABLE_ASSIGNMENT|[102]|workspaceId|"1978033"
18:32:10.0 (1936681)|HEAP_ALLOCATE|[103]|Bytes:5
18:32:10.0 (1939281)|STATEMENT_EXECUTE|[102]
18:32:10.0 (1940680)|STATEMENT_EXECUTE|[103]
18:32:10.0 (2039071)|VARIABLE_SCOPE_BEGIN|[5]|WorkspaceService.MULTIPART_BOUNDARY|String|false|true
18:32:10.0 (2045761)|VARIABLE_SCOPE_BEGIN|[4]|WorkspaceService.WORKSPACE_APP_URL|String|false|true
18:32:10.0 (2049342)|VARIABLE_SCOPE_BEGIN|[3]|WorkspaceService.WORKSPACE_BASE_URL|String|false|true
18:32:10.0 (2056158)|HEAP_ALLOCATE|[103]|Bytes:53
18:32:10.0 (2059176)|HEAP_ALLOCATE|[103]|Bytes:19
18:32:10.0 (2060943)|HEAP_ALLOCATE|[103]|Bytes:24
18:32:10.0 (2069408)|VARIABLE_ASSIGNMENT|[103]|WorkspaceService.MULTIPART_BOUNDARY|"----DocuSignApexBoun (4 more) ..."
18:32:10.0 (2074501)|HEAP_ALLOCATE|[103]|Bytes:39
18:32:10.0 (2078521)|VARIABLE_ASSIGNMENT|[103]|WorkspaceService.WORKSPACE_APP_URL|"https://apps-d.docus (19 more) ..."
18:32:10.0 (2080706)|HEAP_ALLOCATE|[103]|Bytes:39
18:32:10.0 (2084156)|VARIABLE_ASSIGNMENT|[103]|WorkspaceService.WORKSPACE_BASE_URL|"callout:DocuSign_Nav (19 more) ..."
18:32:10.0 (2095824)|METHOD_ENTRY|[1]|01pa500000QRBV4|WorkspaceService.WorkspaceService()
18:32:10.0 (2098935)|STATEMENT_EXECUTE|[1]
18:32:10.0 (2101256)|STATEMENT_EXECUTE|[1]
18:32:10.0 (2103774)|HEAP_ALLOCATE|[103]|Bytes:5
18:32:10.0 (2107437)|METHOD_EXIT|[1]|WorkspaceService
18:32:10.0 (2123446)|METHOD_ENTRY|[103]|01pa500000QRBV4|WorkspaceService.getAssignableRoles(String)
18:32:10.0 (2149968)|VARIABLE_SCOPE_BEGIN|[146]|workspaceId|String|false|false
18:32:10.0 (2154755)|VARIABLE_ASSIGNMENT|[146]|workspaceId|"1978033"
18:32:10.0 (2160745)|HEAP_ALLOCATE|[147]|Bytes:5
18:32:10.0 (2163588)|STATEMENT_EXECUTE|[146]
18:32:10.0 (2164671)|STATEMENT_EXECUTE|[147]
18:32:10.0 (2198133)|HEAP_ALLOCATE|[147]|Bytes:17
18:32:10.0 (2200577)|HEAP_ALLOCATE|[147]|Bytes:39
18:32:10.0 (2204118)|METHOD_ENTRY|[1]|01pa500000QOKzh|NavigatorService.NavigatorService()
18:32:10.0 (2206541)|STATEMENT_EXECUTE|[1]
18:32:10.0 (2208186)|STATEMENT_EXECUTE|[1]
18:32:10.0 (2210101)|HEAP_ALLOCATE|[147]|Bytes:5
18:32:10.0 (2211903)|STATEMENT_EXECUTE|[3]
18:32:10.0 (2212802)|STATEMENT_EXECUTE|[11]
18:32:10.0 (2215267)|METHOD_EXIT|[1]|NavigatorService
18:32:10.0 (2219531)|METHOD_ENTRY|[147]|01pa500000QOKzh|NavigatorService.loadConfig()
18:32:10.0 (2257847)|HEAP_ALLOCATE|[25]|Bytes:5
18:32:10.0 (2260236)|STATEMENT_EXECUTE|[24]
18:32:10.0 (2261183)|STATEMENT_EXECUTE|[25]
18:32:10.0 (2263038)|HEAP_ALLOCATE|[25]|Bytes:158
18:32:10.0 (2275842)|HEAP_ALLOCATE|[25]|Bytes:4
18:32:10.0 (3252583)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT Integration_Key__c, User_Id__c, Private_Key__c, Auth_Server__c, Account_Id__c FROM DocuSign_JWT_Config_mdt__mdt WHERE DeveloperName = 'Default' LIMIT 1
18:32:10.0 (10332259)|SOQL_EXECUTE_END|[25]|Rows:1
18:32:10.0 (10365556)|HEAP_ALLOCATE|[25]|Bytes:8
18:32:10.0 (10383994)|HEAP_ALLOCATE|[25]|Bytes:1956
18:32:10.0 (10474853)|HEAP_ALLOCATE|[25]|Bytes:8
18:32:10.0 (10491361)|HEAP_ALLOCATE|[25]|Bytes:54
18:32:10.0 (10560204)|HEAP_ALLOCATE|[25]|Bytes:28
18:32:10.0 (10567670)|VARIABLE_SCOPE_BEGIN|[25]|mdt|DocuSign_JWT_Config_mdt__mdt|true|false
18:32:10.0 (10674243)|VARIABLE_ASSIGNMENT|[25]|mdt|{"User_Id__c":"21fb243e-b09c-4d23-a (16 more) ...","Auth_Server__c":"https://account-d.do (10 more) ...","Integration_Key__c":"b3e14877-7590-49d0-9 (16 more) ...","Id":"m0Ba500000KVLsfEAH","Account_Id__c":"6cba485c-0fae-4108-a (16 more) ...","Private_Key__c":"-----BEGIN RSA PRIVA (1680 more) ..."}|0xcef2bfd
18:32:10.0 (10682915)|STATEMENT_EXECUTE|[32]
18:32:10.0 (10755744)|HEAP_ALLOCATE|[32]|Bytes:24
18:32:10.0 (10771497)|CONSTRUCTOR_ENTRY|[32]|01pa500000QOKzh|<init>()|NavigatorService.Config
18:32:10.0 (10798390)|VARIABLE_SCOPE_BEGIN|[3]|this|NavigatorService.Config|true|false
18:32:10.0 (10846277)|VARIABLE_ASSIGNMENT|[3]|this|{}|0x17b37231
