66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:32:07.0 (996673)|USER_INFO|[EXTERNAL]|005a500001kpSnF|takahiro.nagai.docusigndemo20250910@gmail.com|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:32:07.0 (1069291)|EXECUTION_STARTED
18:32:07.0 (1097121)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WorkspaceController/ACTION$getWorkspaceInfo
18:32:07.0 (3216014)|CODE_UNIT_STARTED|[EXTERNAL]|01pa500000QRBV3|WorkspaceController.getWorkspaceInfo(String)
18:32:07.0 (3706222)|HEAP_ALLOCATE|[95]|Bytes:3
18:32:07.0 (3849956)|HEAP_ALLOCATE|[100]|Bytes:152
18:32:07.0 (3873804)|HEAP_ALLOCATE|[417]|Bytes:408
18:32:07.0 (3885702)|HEAP_ALLOCATE|[430]|Bytes:408
18:32:07.0 (3937977)|HEAP_ALLOCATE|[317]|Bytes:6
18:32:07.0 (3951376)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:43
18:32:07.0 (3975295)|METHOD_ENTRY|[1]|01pa500000QRBV3|WorkspaceController.WorkspaceController()
18:32:07.0 (3986735)|STATEMENT_EXECUTE|[1]
18:32:07.0 (3994812)|STATEMENT_EXECUTE|[1]
18:32:07.0 (4016806)|HEAP_ALLOCATE|[68]|Bytes:5
18:32:07.0 (4052237)|HEAP_ALLOCATE|[74]|Bytes:5
18:32:07.0 (4057560)|HEAP_ALLOCATE|[82]|Bytes:7
18:32:07.0 (4505967)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:32:07.0 (4526718)|METHOD_EXIT|[1]|WorkspaceController
18:32:07.0 (4532358)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:32:07.0 (4551145)|VARIABLE_SCOPE_BEGIN|[23]|workspaceId|String|false|false
18:32:07.0 (4629907)|VARIABLE_ASSIGNMENT|[23]|workspaceId|"1978033"
18:32:07.0 (4644268)|HEAP_ALLOCATE|[24]|Bytes:5
18:32:07.0 (4665834)|STATEMENT_EXECUTE|[23]
18:32:07.0 (4667349)|STATEMENT_EXECUTE|[24]
18:32:07.0 (70082035)|VARIABLE_SCOPE_BEGIN|[5]|WorkspaceService.MULTIPART_BOUNDARY|String|false|true
18:32:07.0 (70109318)|VARIABLE_SCOPE_BEGIN|[4]|WorkspaceService.WORKSPACE_APP_URL|String|false|true
18:32:07.0 (70114073)|VARIABLE_SCOPE_BEGIN|[3]|WorkspaceService.WORKSPACE_BASE_URL|String|false|true
18:32:07.0 (70137130)|HEAP_ALLOCATE|[24]|Bytes:53
18:32:07.0 (70151325)|HEAP_ALLOCATE|[24]|Bytes:19
18:32:07.0 (70153584)|HEAP_ALLOCATE|[24]|Bytes:24
18:32:07.0 (70188440)|VARIABLE_ASSIGNMENT|[24]|WorkspaceService.MULTIPART_BOUNDARY|"----DocuSignApexBoun (4 more) ..."
18:32:07.0 (70191653)|HEAP_ALLOCATE|[24]|Bytes:39
18:32:07.0 (70222833)|VARIABLE_ASSIGNMENT|[24]|WorkspaceService.WORKSPACE_APP_URL|"https://apps-d.docus (19 more) ..."
18:32:07.0 (70225745)|HEAP_ALLOCATE|[24]|Bytes:39
18:32:07.0 (70229753)|VARIABLE_ASSIGNMENT|[24]|WorkspaceService.WORKSPACE_BASE_URL|"callout:DocuSign_Nav (19 more) ..."
18:32:07.0 (70264885)|METHOD_ENTRY|[1]|01pa500000QRBV4|WorkspaceService.WorkspaceService()
18:32:07.0 (70270265)|STATEMENT_EXECUTE|[1]
18:32:07.0 (70275885)|STATEMENT_EXECUTE|[1]
18:32:07.0 (70292354)|HEAP_ALLOCATE|[24]|Bytes:5
18:32:07.0 (70311903)|METHOD_EXIT|[1]|WorkspaceService
18:32:07.0 (70344928)|METHOD_ENTRY|[24]|01pa500000QRBV4|WorkspaceService.getWorkspace(String)
18:32:07.0 (70383299)|VARIABLE_SCOPE_BEGIN|[30]|workspaceId|String|false|false
18:32:07.0 (70391261)|VARIABLE_ASSIGNMENT|[30]|workspaceId|"1978033"
18:32:07.0 (70399684)|HEAP_ALLOCATE|[31]|Bytes:5
18:32:07.0 (70403749)|STATEMENT_EXECUTE|[30]
18:32:07.0 (70404759)|STATEMENT_EXECUTE|[31]
18:32:07.0 (73418415)|HEAP_ALLOCATE|[31]|Bytes:17
18:32:07.0 (73451310)|HEAP_ALLOCATE|[31]|Bytes:39
18:32:07.0 (73479700)|METHOD_ENTRY|[1]|01pa500000QOKzh|NavigatorService.NavigatorService()
18:32:07.0 (73485117)|STATEMENT_EXECUTE|[1]
18:32:07.0 (73490589)|STATEMENT_EXECUTE|[1]
18:32:07.0 (73503616)|HEAP_ALLOCATE|[31]|Bytes:5
18:32:07.0 (73505992)|STATEMENT_EXECUTE|[3]
18:32:07.0 (73506883)|STATEMENT_EXECUTE|[11]
18:32:07.0 (73517620)|METHOD_EXIT|[1]|NavigatorService
18:32:07.0 (73541945)|METHOD_ENTRY|[31]|01pa500000QOKzh|NavigatorService.loadConfig()
18:32:07.0 (73776652)|HEAP_ALLOCATE|[25]|Bytes:5
18:32:07.0 (73784762)|STATEMENT_EXECUTE|[24]
18:32:07.0 (73786143)|STATEMENT_EXECUTE|[25]
18:32:07.0 (73790166)|HEAP_ALLOCATE|[25]|Bytes:158
18:32:07.0 (73816642)|HEAP_ALLOCATE|[25]|Bytes:4
18:32:07.0 (74447859)|SOQL_EXECUTE_BEGIN|[25]|Aggregations:0|SELECT Integration_Key__c, User_Id__c, Private_Key__c, Auth_Server__c, Account_Id__c FROM DocuSign_JWT_Config_mdt__mdt WHERE DeveloperName = 'Default' LIMIT 1
