66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:32:07.0 (195860)|USER_INFO|[EXTERNAL]|005a500001kpSnF|takahiro.nagai.docusigndemo20250910@gmail.com|(GMT+09:00) 日本標準時 (Asia/Tokyo)|GMT+09:00
18:32:07.0 (234171)|EXECUTION_STARTED
18:32:07.0 (243875)|CODE_UNIT_STARTED|[EXTERNAL]|apex://WorkspaceController/ACTION$getWorkspaceEnvelopes
18:32:07.0 (2581923)|CODE_UNIT_STARTED|[EXTERNAL]|01pa500000QRBV3|WorkspaceController.getWorkspaceEnvelopes(String)
18:32:07.0 (2963413)|HEAP_ALLOCATE|[95]|Bytes:3
18:32:07.0 (3060497)|HEAP_ALLOCATE|[100]|Bytes:152
18:32:07.0 (3078526)|HEAP_ALLOCATE|[417]|Bytes:408
18:32:07.0 (3089625)|HEAP_ALLOCATE|[430]|Bytes:408
18:32:07.0 (3112384)|HEAP_ALLOCATE|[317]|Bytes:6
18:32:07.0 (3123344)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:43
18:32:07.0 (3136379)|METHOD_ENTRY|[1]|01pa500000QRBV3|WorkspaceController.WorkspaceController()
18:32:07.0 (3142754)|STATEMENT_EXECUTE|[1]
18:32:07.0 (3150617)|STATEMENT_EXECUTE|[1]
18:32:07.0 (3171227)|HEAP_ALLOCATE|[68]|Bytes:5
18:32:07.0 (3196418)|HEAP_ALLOCATE|[74]|Bytes:5
18:32:07.0 (3201140)|HEAP_ALLOCATE|[82]|Bytes:7
18:32:07.0 (3390164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
18:32:07.0 (3404354)|METHOD_EXIT|[1]|WorkspaceController
18:32:07.0 (3412047)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
18:32:07.0 (3419728)|VARIABLE_SCOPE_BEGIN|[143]|workspaceId|String|false|false
18:32:07.0 (3465170)|VARIABLE_ASSIGNMENT|[143]|workspaceId|"1978033"
18:32:07.0 (3478517)|HEAP_ALLOCATE|[144]|Bytes:5
18:32:07.0 (3481473)|STATEMENT_EXECUTE|[143]
18:32:07.0 (3483147)|STATEMENT_EXECUTE|[144]
18:32:07.0 (71639521)|VARIABLE_SCOPE_BEGIN|[5]|WorkspaceService.MULTIPART_BOUNDARY|String|false|true
18:32:07.0 (71704129)|VARIABLE_SCOPE_BEGIN|[4]|WorkspaceService.WORKSPACE_APP_URL|String|false|true
18:32:07.0 (71708553)|VARIABLE_SCOPE_BEGIN|[3]|WorkspaceService.WORKSPACE_BASE_URL|String|false|true
